strategy,annualized_return,annualized_volatility,sharpe_ratio,raw_t_stat,nw_t_stat,ff5_mom_alpha,ff5_mom_alpha_tstat,n_months
Bottom Decile U-B EW All,0.0757367339586017,0.0681794718891347,1.1108436580699217,4.156396378768307,3.995110266456835,0.0639626040983482,5.069410620348281,168
Bottom Decile U-B EW $100M+,0.0772890140111504,0.0519813823255683,1.4868595361138344,5.563318966395604,5.872318910851678,0.0629199873319483,5.847330486305808,168
Bottom Quintile U-B EW All,0.0542445837064739,0.0359898719897984,1.507218022944065,5.639493449027476,5.395180050677315,0.0451253016118394,5.901322526262012,168
Bottom Quintile U-B EW $100M+,0.0492285131299191,0.0313611985140295,1.5697267790290763,5.873379797971009,5.926771837438154,0.0398988559143919,5.605816237375303,168
Q5-Q1 EW All,0.05353203449628782,0.05317276753576433,1.0067565969794943,3.7669382577717205,4.466746363802267,0.0544511006466998,4.328614188187509,168
Q5-Q1 EW $100M+,0.055572651855022456,0.04638118945048052,1.1981722011324294,4.4831498669943475,4.8095855489487835,0.0542222020899752,4.434906491617872,168
