strategy,annualized_return,annualized_volatility,sharpe_ratio,raw_t_stat,nw_t_stat,ff5_mom_alpha,ff5_mom_alpha_tstat,n_months
Bottom Decile U-B VW All,0.0903636876019401,0.0996651050594435,0.9066732789580086,3.392460771603783,3.8051057760746847,0.0507624493118616,2.928568542436638,168
Bottom Decile U-B VW $100M+,0.0827345538464821,0.0910553639627508,0.908618122490042,3.399737709771536,3.5310230744987376,0.0419729816462394,2.491451054135299,168
